2024-01-31 16:38:42.604
sensor: 'C14-10 vs CRef1', channels: 101
sensor: 'C14-11 vs CRef1', channels: 102
sensor: 'C14-12 vs CRef1', channels: 103
sensor: 'C14-13 vs CRef1', channels: 104
sensor: 'C14-14 vs CRef1', channels: 105
sensor: 'C14-15 vs CRef1', channels: 106
sensor: 'C14-16 vs CRef1', channels: 107
sensor: 'C14-17 vs CRef1', channels: 109
sensor: 'C14-18 vs CRef1', channels: 110
sensor: 'C14-19 vs CRef1', channels: 111
temperature: 'Omega RTD 4 Wire (Solution)', channels: 108
notes: '30 PPT NaCl, Chicago Data, New Chloride Sensors and (LL References removed)'
**********
2024-01-31 17:36:52.592,109,8.345140 mV
2024-01-31 17:36:53.259,110,25.835780 mV
2024-01-31 17:36:53.926,111,17.623780 mV
2024-01-31 17:38:47.235,101,13.444230 mV
2024-01-31 17:38:47.903,102,18.696410 mV
2024-01-31 17:38:48.570,103,30.826410 mV
2024-01-31 17:38:49.237,104,-1.393520 mV
2024-01-31 17:38:49.905,105,19.973170 mV
2024-01-31 17:38:50.572,106,9.137320 mV
2024-01-31 17:38:51.239,107,11.647000 mV
2024-01-31 17:38:51.915,108,22.279000 C
2024-01-31 17:38:52.592,109,8.361990 mV
2024-01-31 17:38:53.259,110,25.844660 mV
2024-01-31 17:38:53.926,111,17.634000 mV
2024-01-31 17:40:47.235,101,13.453940 mV
2024-01-31 17:40:47.903,102,18.706180 mV
2024-01-31 17:40:48.570,103,30.831490 mV
2024-01-31 17:40:49.237,104,-1.382590 mV
2024-01-31 17:40:49.905,105,19.983780 mV
2024-01-31 17:40:50.572,106,9.150180 mV
2024-01-31 17:40:51.239,107,11.659990 mV
2024-01-31 17:40:51.915,108,22.271000 C
2024-01-31 17:40:52.592,109,8.374520 mV
2024-01-31 17:40:53.259,110,25.855010 mV
2024-01-31 17:40:53.927,111,17.644610 mV
2024-01-31 17:42:47.235,101,13.463970 mV
2024-01-31 17:42:47.903,102,18.714410 mV
2024-01-31 17:42:48.570,103,30.827630 mV
2024-01-31 17:42:49.237,104,-1.373530 mV
2024-01-31 17:42:49.904,105,19.993170 mV
2024-01-31 17:42:50.572,106,9.161880 mV
2024-01-31 17:42:51.239,107,11.671560 mV
2024-01-31 17:42:51.914,108,22.261000 C
2024-01-31 17:42:52.592,109,8.385900 mV
2024-01-31 17:42:53.259,110,25.864390 mV
2024-01-31 17:42:53.926,111,17.654320 mV
2024-01-31 17:44:47.235,101,13.472840 mV
2024-01-31 17:44:47.903,102,18.726690 mV
