2024-01-26 16:10:51.035
sensor: 'C14-10 vs CRef1', channels: 101
sensor: 'C14-11 vs CRef1', channels: 102
sensor: 'C14-12 vs CRef1', channels: 103
sensor: 'C14-13 vs CRef1', channels: 104
sensor: 'C14-14 vs CRef1', channels: 105
sensor: 'C14-15 vs CRef1', channels: 106
sensor: 'C14-16 vs CRef1', channels: 107
sensor: 'C14-17 vs CRef1', channels: 109
sensor: 'C14-18 vs CRef1', channels: 110
sensor: 'C14-19 vs CRef1', channels: 111
sensor: 'LLR3-3(Sat KCl) vs CRef1', channels: 112
sensor: 'LLR3-6(1M KCl) vs CRef1', channels: 113
temperature: 'Omega RTD 4 Wire (Solution)', channels: 108
notes: '30 PPT NaCl, Chicago Data, New Chloride Sensors and LL References'
**********
2024-01-26 17:14:57.667,104,1.987420 mV
2024-01-26 17:14:58.335,105,19.451360 mV
2024-01-26 17:14:59.002,106,12.427410 mV
2024-01-26 17:14:59.669,107,11.390400 mV
2024-01-26 17:15:00.345,108,22.239000 C
2024-01-26 17:15:01.022,109,9.976680 mV
2024-01-26 17:15:01.689,110,22.470980 mV
2024-01-26 17:15:02.356,111,16.681020 mV
2024-01-26 17:15:03.024,112,39.515590 mV
2024-01-26 17:15:03.691,113,34.648990 mV
2024-01-26 17:16:55.665,101,13.295840 mV
2024-01-26 17:16:56.333,102,17.665630 mV
2024-01-26 17:16:57.000,103,27.296690 mV
2024-01-26 17:16:57.667,104,1.986900 mV
2024-01-26 17:16:58.335,105,19.454060 mV
2024-01-26 17:16:59.002,106,12.432750 mV
2024-01-26 17:16:59.669,107,11.392710 mV
2024-01-26 17:17:00.345,108,22.239000 C
2024-01-26 17:17:01.022,109,9.981440 mV
2024-01-26 17:17:01.689,110,22.473550 mV
2024-01-26 17:17:02.357,111,16.682500 mV
2024-01-26 17:17:03.024,112,-47.679840 mV
2024-01-26 17:17:03.691,113,-47.113410 mV
2024-01-26 17:18:55.665,101,13.297000 mV
2024-01-26 17:18:56.333,102,17.668140 mV
2024-01-26 17:18:57.000,103,27.301640 mV
2024-01-26 17:18:57.667,104,1.986520 mV
2024-01-26 17:18:58.334,105,19.455990 mV
2024-01-26 17:18:59.002,106,12.431970 mV
2024-01-26 17:18:59.669,107,11.394060 mV
2024-01-26 17:19:00.345,108,22.238000 C
2024-01-26 17:19:01.022,109,9.984850 mV
2024-01-26 17:19:01.689,110,22.476120 mV
2024-01-26 17:19:02.356,111,16.684690 mV
2024-01-26 17:19:03.024,112,-46.008950 mV
2024-01-26 17:19:03.691,113,-46.550830 mV
2024-01-26 17:20:55.665,101,13.298600 mV
2024-01-26 17:20:56.333,102,17.668530 mV
2024-01-26 17:20:57.000,103,27.304660 mV
2024-01-26 17:20:57.667,104,1.984720 mV
2024-01-26 17:20:58.334,105,19.457850 mV
2024-01-26 17:20:59.002,106,12.432680 mV
2024-01-26 17:20:59.669,107,11.395280 mV
2024-01-26 17:21:00.345,108,22.238000 C
2024-01-26 17:21:01.022,109,9.985810 mV
2024-01-26 17:21:01.689,110,22.479980 mV
2024-01-26 17:21:02.356,111,16.686490 mV
2024-01-26 17:21:03.024,112,45.711890 mV
2024-01-26 17:21:03.691,113,40.059720 mV
2024-01-26 17:22:55.665,101,13.300720 mV
